"age","male","educ","educ0","income","hhincome","white_nh","tea_party","conserv","partyID","pid1","Democrat1","Republican1","milAssert1","intl1","anxiety","cGroup_Endorse","cGroup_Oppose","groupControl","tGroup_Endorse","tGroup_Oppose","cMCheck","tMCheck","cPivot","cCertain","cSucceed","cThreat","tDeploy","tCertain","tSucceed","tThreat","cHot","tHot","cDem","tDem","cFirst","ID"
50,1,9,1,6,8,1,0,4,6,0.833333333333333,0,1,0.125,0.75,0.333333333333333,1,0,0,0,1,1,0,0.0888888888888889,0.98,0.1,0.2,0.08,1,0.12,0.78,1,0,1,0,0,"R_bpaPxfl6nxmylkp"
42,1,5,0.5,2,2,1,0,1,3,0.333333333333333,1,0,0.25,0.5625,0.333333333333333,0,1,0,1,0,1,1,0.522222222222222,0.61,0.24,0.84,0.21,0.9,0.02,0.2,0,1,1,0,0,"R_9Z8yKPypdUG6nI1"
67,1,4,0.375,4,4,0,0,3,4,0.5,0,0,0.375,0.5,0.266666666666667,1,0,0,0,1,0,1,0.922222222222222,0.73,0.08,0.27,1,0.97,1,1,1,0,1,0,0,"R_eQWDXpcvBDU9fVj"
58,1,5,0.5,5,5,1,1,4,3,0.333333333333333,1,0,0.25,0.5,0.533333333333333,0,0,1,0,0,0,1,0.522222222222222,0.56,0.47,0.48,0.48,0.51,0.43,0.47,0,1,1,0,1,"R_2gATqqT7ZdmHJqd"
31,1,6,0.625,4,4,1,1,6,7,1,0,1,0.5,0.5625,0.266666666666667,0,1,0,1,0,0,1,0.722222222222222,1,0.48,0.6,0.8,1,0.71,0.92,1,0,1,0,1,"R_4OWwCraEIzK0NZH"
45,1,7,0.75,3,3,1,1,6,7,1,0,1,0.8125,0.6875,0.266666666666667,0,1,0,1,0,1,1,0.822222222222222,0.82,0.66,0.93,0.83,0.89,0.87,0.91,0,1,1,0,0,"R_6VUD7hC2aw76EfP"
18,1,6,0.625,3,3,0,1,4,3,0.333333333333333,1,0,0.5625,0.5,0.4,1,0,0,0,1,1,1,0.1,0.3,0.27,0.21,0.62,0.69,0.51,1,1,0,0,1,0,"R_cTHqDLbKcIkSOP3"
33,1,7,0.75,6,10,1,0,6,6,0.833333333333333,0,1,0.625,0.3125,0.533333333333333,0,1,0,1,0,0,1,0.111111111111111,0.93,0.4,0.77,0.87,0.84,0.48,0.91,1,0,1,0,1,"R_2wnym2zdpx2PClT"
46,1,5,0.5,5,5,1,0,4,2,0.166666666666667,1,0,0.5625,0.5625,0.4,0,0,1,0,0,0,0,0.511111111111111,0.51,0.49,0.59,0.6,0.55,0.59,0.61,0,1,1,0,1,"R_22VgvJJ41gAvj1L"
56,1,5,0.5,1,1,1,0,6,4,0.5,0,0,0.4375,0.4375,0.333333333333333,1,0,0,0,1,1,0,0.844444444444444,0.89,0.51,0.72,0.79,0.81,1,0.93,0,1,1,0,0,"R_9NZSlVXkMYKWFVP"
57,1,6,0.625,5,5,1,0,2,1,0,1,0,0.125,0.625,0.2,1,0,0,0,1,1,0,0.144444444444444,1,0.44,0.15,0.13,1,0.19,0.37,0,1,1,0,0,"R_qWyIyCZU9meVjKV"
45,1,3,0.25,1,1,1,0,,4,0.5,0,0,0.875,0.3125,0.266666666666667,0,0,1,0,0,1,1,1,0.99,0,0.99,0,0,0,0,1,0,1,0,0,"R_6fXZpmfyL232NQV"
42,1,7,0.75,5,5,1,1,7,5,0.666666666666667,0,1,0.6875,0.5,0.2,0,0,1,0,0,1,1,0.833333333333333,0.85,0.8,0.59,0.65,0.7,0.7,0.85,1,0,1,0,1,"R_eG79jCLxexWVQzP"
76,1,8,0.875,6,7,1,0,4,2,0.166666666666667,1,0,0.5,0.4375,0.133333333333333,0,1,0,1,0,1,0,0.122222222222222,1,0.51,0.33,0.53,0.94,0.91,0.67,1,0,0,1,0,"R_cVg2QjXySIyx54h"
74,1,7,0.75,4,4,1,0,6,1,0,1,0,0.75,0.75,0.4,0,1,0,1,0,0,1,0.588888888888889,0.58,0.56,0.54,0.77,0.82,0.75,0.96,1,0,1,0,1,"R_eht377UkTO0IoUB"
65,1,5,0.5,2,2,1,1,6,6,0.833333333333333,0,1,0.625,0.6875,0.466666666666667,0,0,1,0,0,0,1,0.644444444444444,0.6,0.71,0.33,0.76,0.78,0.84,0.88,0,1,1,0,1,"R_2wpPe6ZdoD4y38M"
73,1,9,1,4,4,1,0,3,2,0.166666666666667,1,0,0.25,0.8125,0.333333333333333,1,0,0,0,1,1,1,0.0444444444444444,0.91,0.05,0.14,0.05,0.88,0.03,0.76,1,0,0,1,0,"R_3qIPgY8wU9iEhpZ"
64,1,3,0.25,3,3,1,0,6,1,0,1,0,0.5625,0.75,0.333333333333333,0,0,1,0,0,1,1,0.422222222222222,0.47,0.45,0.62,0.49,0.37,0.28,0.62,1,0,1,0,0,"R_0e5831KFoS28Znf"
