"age","male","educ","educ0","income","hhincome","white_nh","tea_party","conserv","partyID","pid1","Democrat1","Republican1","milAssert1","intl1","anxiety","cGroup_Endorse","cGroup_Oppose","groupControl","tGroup_Endorse","tGroup_Oppose","cMCheck","tMCheck","cPivot","cCertain","cSucceed","cThreat","tDeploy","tCertain","tSucceed","tThreat","cHot","tHot","cDem","tDem","cFirst","ID"
57,1,5,0.5,1,1,1,0,5,2,0.166666666666667,1,0,0.5625,0.25,0.733333333333333,0,1,0,1,0,1,1,0.0111111111111111,0.94,0.09,0.14,0.05,0.83,0.43,0.81,0,1,0,1,1,"R_9H7J3zjTQD2b2fz"
25,0,5,0.5,3,3,1,1,3,4,0.5,0,0,0.375,0.125,0.4,1,0,0,0,1,1,1,0.622222222222222,1,0.43,0.64,0.14,0.09,0.18,0.67,1,0,0,1,1,"R_bqMCdRuNwTwRh41"
45,0,5,0.5,2,2,1,0,4,6,0.833333333333333,0,1,0.6875,0.5625,0.333333333333333,0,1,0,1,0,1,0,0.133333333333333,0.14,0.38,0.66,0.4,0.39,0.12,1,1,0,1,0,0,"R_02NyxLRxjXg4qkR"
79,0,4,0.375,1,1,1,0,,1,0,1,0,0.4375,0.6875,0.466666666666667,0,0,1,0,0,1,1,0.511111111111111,0.25,0.24,0.34,0.17,0.98,0.13,0.92,0,1,0,1,0,"R_00YtT7BvjRCUdbn"
25,0,7,0.75,2,2,1,0,2,3,0.333333333333333,1,0,0.25,0.625,0.4,0,0,1,0,0,1,1,0.111111111111111,0.4,0.14,0.43,0.28,0.5,0.22,0.41,1,0,0,1,0,"R_b3Feu3x9aFe4bGZ"
60,0,4,0.375,6,10,1,0,4,4,0.5,0,0,0.4375,0.5625,0.466666666666667,1,0,0,0,1,0,1,0.0666666666666667,0.28,0.05,0.18,0.15,0.14,0.41,0.77,1,0,0,1,1,"R_eD6MXJeHVYL0sLP"
64,1,5,0.5,1,1,1,0,4,3,0.333333333333333,1,0,0.625,0.625,0.466666666666667,1,0,0,0,1,1,1,0.177777777777778,1,0.16,0.29,0.48,1,0.36,0.2,0,1,1,0,0,"R_5cBQI9hCPS7JDHD"
24,1,7,0.75,1,1,0,0,2,1,0,1,0,0.3125,0.5625,0.333333333333333,0,1,0,1,0,1,1,0.4,0.07,0.46,0.61,0.17,0.12,0.12,0.64,0,1,1,0,0,"R_eGbnm06LRG7Xr2R"
48,0,6,0.625,5,5,0,0,4,1,0,1,0,0.1875,0.4375,0.666666666666667,0,1,0,1,0,1,1,0.0222222222222222,1,0.49,0.66,0.07,1,0.34,0.96,1,0,0,1,1,"R_6fgjr9b6xSKVJAN"
23,0,3,0.25,1,1,0,1,2,1,0,1,0,0.3125,0.5,0.4,1,0,0,0,1,0,1,0.633333333333333,0.48,0.52,0.55,0.5,0.81,0.61,0.5,0,1,0,1,1,"R_beldo7gnFFQU3VX"
59,0,6,0.625,6,,1,1,7,7,1,0,1,0.5625,0.25,0.133333333333333,0,0,1,0,0,0,1,0.388888888888889,0.37,0.39,0.56,0.77,0.98,0.68,1,1,0,1,0,1,"R_etimgstFyL2BcJ7"
58,0,7,0.75,4,4,1,0,7,7,1,0,1,0.75,0.5,0.466666666666667,0,0,1,0,0,1,1,1,1,1,1,1,1,0.48,1,1,0,0,1,1,"R_1HpOqs8dvkI9OC1"
56,0,3,0.25,6,7,1,0,,5,0.666666666666667,0,1,0.5,0.5,0.133333333333333,1,0,0,0,1,1,0,0.5,0.5,0.52,0.5,0.52,0.5,0.76,0.84,1,0,0,1,0,"R_diCOTnsr2ZnERs9"
28,0,7,0.75,3,3,1,1,4,5,0.666666666666667,0,1,0.6875,0.6875,0.466666666666667,0,0,1,0,0,1,1,0.522222222222222,0.84,0.47,0.1,0.29,0.51,0.27,0.2,1,0,0,1,1,"R_0vwu7ny3wuia6zj"
74,1,7,0.75,4,4,1,1,6,4,0.5,0,0,0.6875,0.6875,0.333333333333333,1,0,0,0,1,0,1,0.555555555555556,0.54,0.56,0.63,0.49,0.46,0.57,0.9,1,0,1,0,1,"R_cOPfBdJcXzh2Ukt"
42,0,9,1,6,7,1,0,4,6,0.833333333333333,0,1,0.5,0.5625,0.533333333333333,1,0,0,0,1,1,1,0.633333333333333,0.56,0.59,0.55,0.56,0.38,0.62,0.64,0,1,1,0,0,"R_9tPnfdvnn5uDTp3"
58,0,8,0.875,6,8,1,0,4,6,0.833333333333333,0,1,0.5,0.625,0.2,1,0,0,0,1,0,1,0.644444444444444,0.45,0.54,0.74,0.11,0.66,0.04,0.72,0,1,1,0,1,"R_0dIEY4Auh8eCbl3"
49,0,3,0.25,2,2,1,0,1,4,0.5,0,0,0.375,0.6875,0.533333333333333,0,0,1,0,0,1,0,0.722222222222222,0.86,0.84,0.4,0.58,0.77,0.29,0.96,1,0,0,1,0,"R_0JRiS4gBdwirz2B"
64,0,4,0.375,1,1,1,0,3,3,0.333333333333333,1,0,0.5,0.6875,0.666666666666667,0,0,1,0,0,1,1,0.844444444444444,0.85,0.57,0.62,0.71,0.73,0.65,0.88,0,1,0,1,0,"R_2a7Uo7pKIMWbgYB"
32,0,7,0.75,4,4,1,0,3,2,0.166666666666667,1,0,0.3125,0.5,0.4,0,1,0,1,0,1,1,0.244444444444444,0.39,0.14,0.11,0.41,0.18,0.41,0.66,1,0,1,0,0,"R_eFLbODJopeiIjM9"
69,0,9,1,5,5,1,1,7,7,1,0,1,0.8125,0.25,0.533333333333333,0,1,0,1,0,0,0,0.466666666666667,0.47,0.48,0.46,1,0.49,0.46,1,0,1,0,1,0,"R_8v3NCJH8y8w8Hyd"
24,0,6,0.625,3,3,1,1,,4,0.5,0,0,0.5,0.4375,0.466666666666667,0,1,0,1,0,1,1,0.111111111111111,1,0.1,0.76,0.14,0.99,0.43,0.8,0,1,1,0,1,"R_b1niq9viDNlDam1"
53,1,8,0.875,6,7,1,0,2,1,0,1,0,0.5,0.625,0.4,1,0,0,0,1,0,1,0.211111111111111,0.46,0.07,0.19,0.56,0.38,0.29,0.81,0,1,1,0,1,"R_2boBDtbbGnUZeWV"
62,0,6,0.625,1,1,1,0,4,2,0.166666666666667,1,0,1,0.625,0.4,0,1,0,1,0,0,1,0.688888888888889,1,0.77,0.99,0.96,1,0.66,1,1,0,1,0,1,"R_5oTey1WVIUMgg85"
30,0,3,0.25,1,1,1,0,,4,0.5,0,0,0.5,0.5625,0.933333333333333,1,0,0,0,1,1,0,0.233333333333333,0.25,0.46,0.34,0.25,0.21,0.43,0.6,1,0,1,0,0,"R_da1Y0gViqwt70JT"
61,0,5,0.5,2,2,1,0,6,7,1,0,1,0.375,0.625,0.333333333333333,1,0,0,0,1,0,1,0.644444444444444,0.69,0.77,0.85,0.62,0.8,0.49,1,1,0,1,0,0,"R_eznykFZUNS4LaUR"
69,0,6,0.625,6,8,1,0,,5,0.666666666666667,0,1,0.4375,0.5,0.266666666666667,0,1,0,1,0,1,1,0.366666666666667,0.37,0.45,0.47,0.47,0.47,0.45,0.45,1,0,0,1,1,"R_djxIdfIsUM2NsG1"
34,0,5,0.5,6,7,1,0,4,4,0.5,0,0,0.125,0.25,0.266666666666667,1,0,0,0,1,0,1,0.333333333333333,1,0.43,0.68,0.55,1,0.54,0.68,0,1,1,0,1,"R_5tYhRSgMepSvcOx"
43,0,7,0.75,4,4,1,0,1,1,0,1,0,0.1875,0.625,0.0666666666666667,0,1,0,1,0,1,1,0.0555555555555556,0.93,0,0.18,0.34,0.88,0,0.33,0,1,1,0,0,"R_8uoLiLZyGsh1fF3"
47,0,7,0.75,5,5,1,0,,4,0.5,0,0,0.5,0.5,0.266666666666667,0,1,0,1,0,1,1,0.355555555555556,0.38,0.17,0.25,0.14,0.17,0.07,0.46,0,1,1,0,0,"R_0GI0EZCAbgwZiNT"
22,0,5,0.5,1,1,1,1,4,4,0.5,0,0,0.5,0.5,0.666666666666667,0,1,0,1,0,1,0,0.288888888888889,0.46,0.42,0.36,0.05,0.37,0.06,0.83,0,1,0,1,0,"R_9AAK9fHlVvytPCt"
32,1,7,0.75,4,4,1,0,3,6,0.833333333333333,0,1,0.75,0.5,0.333333333333333,0,0,1,0,0,1,1,0.444444444444444,0.96,0.8,1,0.54,1,0.95,0.92,1,0,0,1,1,"R_2fYDTsGiWKzHpSB"
22,0,5,0.5,2,2,1,0,,4,0.5,0,0,0.25,0.5,0.6,0,1,0,1,0,0,1,0.1,0.92,0.02,0.65,0.81,0.04,0.41,0.47,1,0,1,0,0,"R_bkdTJJ8qTMRzOmx"
64,0,6,0.625,1,1,1,0,2,3,0.333333333333333,1,0,0.125,0.6875,0.266666666666667,0,0,1,0,0,1,1,0.177777777777778,0.81,0.39,0.54,0.1,0.96,0.02,0.62,1,0,1,0,0,"R_88hzCZnXnWhZKm1"
61,0,3,0.25,1,1,1,0,,2,0.166666666666667,1,0,0.5,0.4375,0.466666666666667,1,0,0,0,1,1,1,0.522222222222222,0.24,0.52,0.66,0.47,0.06,0.31,0.62,0,1,1,0,0,"R_a8W6NTS0w0SG949"
76,0,4,0.375,4,4,1,0,1,1,0,1,0,0.4375,0.375,0.2,1,0,0,0,1,0,1,0.355555555555556,0.81,0.38,0.34,0.23,1,0.32,0.25,0,1,1,0,1,"R_0fFWW6OdhQFJ0s5"
65,1,7,0.75,5,5,1,0,1,2,0.166666666666667,1,0,0.1875,0.5625,0.4,0,1,0,1,0,1,1,0.0111111111111111,1,0.01,0.29,0.09,0.39,0.01,0.2,0,1,1,0,0,"R_0CDfO4In01Wdjyl"
55,0,3,0.25,4,4,1,0,3,3,0.333333333333333,1,0,0.5625,0.625,0.4,1,0,0,0,1,1,1,0.622222222222222,0.81,0.51,0.49,0.51,0.77,0.51,0.49,0,1,1,0,0,"R_d0hp3hkX7WDkjWd"
56,1,5,0.5,1,1,1,1,5,6,0.833333333333333,0,1,0.5625,0.625,0.266666666666667,1,0,0,0,1,0,1,0.977777777777778,1,0.94,0.51,0.52,0.53,0.31,0.57,0,1,1,0,1,"R_8CDJGgYFC3ejjBb"
70,0,3,0.25,3,3,1,0,6,2,0.166666666666667,1,0,0.375,0.4375,0.466666666666667,0,1,0,1,0,0,1,0.355555555555556,0.32,0.06,0.58,0.48,0.25,0.09,0.7,0,1,1,0,1,"R_6g7LzNdNE1XZoYB"
71,0,6,0.625,5,5,1,1,5,7,1,0,1,0.9375,0.5,0.4,0,1,0,1,0,1,1,0.522222222222222,0.5,0.52,0.86,0.79,0.75,0.59,0.55,0,1,1,0,1,"R_bkFwFf6Nj9o632Z"
30,0,9,1,3,3,1,0,1,1,0,1,0,0.25,0.3125,0.4,0,0,1,0,0,1,1,0.255555555555556,0.53,0.07,0.85,0.36,0.53,0.06,0.47,0,1,0,1,0,"R_4ZvIUWskaxF9H3D"
69,0,3,0.25,2,2,1,1,6,5,0.666666666666667,0,1,0.625,0.375,0.333333333333333,0,1,0,1,0,1,1,0.255555555555556,0.25,0.19,0.61,0.66,0.7,0.54,0.27,1,0,1,0,1,"R_bjUnsJgnec9z7Wl"
68,1,7,0.75,3,3,1,0,4,6,0.833333333333333,0,1,0.625,0.5,0.4,0,0,1,0,0,1,1,0.666666666666667,0.7,0.76,0.46,0.08,0.08,0.05,0.95,0,1,0,1,0,"R_893zdNXq3H1oKIB"
54,0,5,0.5,4,4,1,0,5,6,0.833333333333333,0,1,0.5625,0.625,0.333333333333333,0,1,0,1,0,0,1,0.522222222222222,0.37,0.65,0.84,0.11,0.81,0.15,0.67,1,0,1,0,1,"R_9t0DSmFwra9Bbpj"
67,0,3,0.25,1,1,1,0,6,5,0.666666666666667,0,1,0.8125,0.4375,0.4,0,0,1,0,0,1,1,0.677777777777778,0.71,0.77,0.79,0.22,0.2,0.72,1,1,0,0,1,1,"R_dgoeTOMgE62A9Ap"
69,0,5,0.5,6,7,1,0,4,3,0.333333333333333,1,0,0.5625,0.6875,0.533333333333333,0,1,0,1,0,1,0,0.0555555555555556,0.85,0.13,0.5,0.44,0.78,0.11,0.84,1,0,0,1,1,"R_2i4K0qmkJuztNjf"
71,0,3,0.25,1,1,1,0,4,2,0.166666666666667,1,0,0.5,0.5,0.533333333333333,0,1,0,1,0,1,1,0.8,0.81,0.47,0.88,0.02,0.05,0.04,0.9,1,0,1,0,0,"R_8CFPjxc6BjzkOFf"
62,0,9,1,4,4,1,0,1,1,0,1,0,0.25,0.6875,0.266666666666667,0,1,0,1,0,1,1,0.111111111111111,0.8,0.64,0.59,0.06,0.94,0.1,0.81,0,1,1,0,0,"R_bgynM2ulZ46DIS9"
66,1,5,0.5,2,2,1,0,6,7,1,0,1,0.5625,0.375,0.333333333333333,0,1,0,1,0,1,1,0.444444444444444,0.49,0.43,0.52,0.84,0.82,0.87,0.86,1,0,1,0,1,"R_3NS69RnRLrHUcOp"
67,1,9,1,5,5,1,0,7,7,1,0,1,0.5625,0.5625,0.0666666666666667,0,0,1,0,0,1,1,0.466666666666667,1,0.3,0.59,0.51,1,0.26,0.81,0,1,1,0,1,"R_1WUzv57uXYq0M2p"
57,1,3,0.25,4,4,1,0,4,4,0.5,0,0,0.6875,0.5,0.4,1,0,0,0,1,1,0,0.466666666666667,0.53,0.51,0.51,0.48,0.42,0.4,0.45,0,1,0,1,1,"R_bdw51MrVarAlMlD"
48,0,7,0.75,3,3,0,0,4,1,0,1,0,0.6875,0.5,0.333333333333333,0,0,1,0,0,0,0,0.277777777777778,0.79,0.48,0.55,0.55,0.58,0.52,1,0,1,1,0,1,"R_8Aq8enWAwII1HOR"
58,0,7,0.75,1,1,1,0,1,3,0.333333333333333,1,0,0.4375,0.625,0.533333333333333,0,0,1,0,0,1,1,0.0444444444444444,1,0.06,0.07,0.08,1,0.08,0.14,1,0,0,1,1,"R_6Xp9tXoLcEpPQEZ"
35,0,5,0.5,2,2,1,1,4,3,0.333333333333333,1,0,0.25,0.4375,0.533333333333333,1,0,0,0,1,1,0,0.533333333333333,0.52,0.47,0.5,0.22,0.49,0.2,0.43,1,0,0,1,0,"R_5tqJ5rQsdMXTPpz"
65,0,3,0.25,1,1,1,1,4,4,0.5,0,0,0.6875,0.4375,0.466666666666667,0,1,0,1,0,1,1,0.466666666666667,1,1,1,1,1,1,1,0,1,1,0,1,"R_4VjIhN6gHxjma3P"
47,0,3,0.25,4,4,1,0,5,5,0.666666666666667,0,1,0.5625,0.375,0.533333333333333,0,0,1,0,0,0,1,0.333333333333333,0.78,0.76,0.54,0.79,0.72,0.67,0.87,1,0,1,0,1,"R_eE9sVPIrNsSyptX"
63,1,9,1,4,4,1,0,3,2,0.166666666666667,1,0,0.5,0.6875,0.666666666666667,1,0,0,0,1,1,1,0.477777777777778,0.48,0.77,0.15,0.13,1,0.18,0.69,0,1,0,1,1,"R_egpsNCL5ayp2qLH"
33,0,7,0.75,2,2,0,0,4,2,0.166666666666667,1,0,0.625,0.4375,0.333333333333333,1,0,0,0,1,0,0,0.477777777777778,0.49,0.49,0.31,0.02,0.95,0.05,0.83,1,0,1,0,0,"R_3OerNMTDQdEf217"
69,1,7,0.75,3,3,1,0,2,1,0,1,0,0.5625,0.5625,0.333333333333333,0,1,0,1,0,1,1,0.0777777777777778,0.91,0.11,0.17,0.68,0.48,0.24,0.65,0,1,1,0,0,"R_9zBUifEv2Z4MQ5f"
53,0,7,0.75,3,3,1,1,6,7,1,0,1,1,0.375,1,0,0,1,0,0,1,1,0.155555555555556,0.49,0.08,0.99,0.33,0.77,0.02,1,1,0,0,1,0,"R_4MCxATxV2jiNx65"
34,1,7,0.75,6,7,1,0,5,4,0.5,0,0,0.3125,0.5625,0.333333333333333,0,1,0,1,0,1,1,0.222222222222222,0.7,0.41,0.28,0.51,0.33,0.27,0.36,0,1,1,0,0,"R_0MuvcEV6NiqLvU1"
53,0,5,0.5,3,3,1,0,6,7,1,0,1,0.25,0.4375,0.266666666666667,0,1,0,1,0,1,1,0.244444444444444,0.87,0.11,0.25,0.27,0.86,0.9,0.88,1,0,0,1,0,"R_77BzusGlwMa90up"
63,0,3,0.25,4,4,1,0,4,5,0.666666666666667,0,1,0.5,0.5,0.266666666666667,0,0,1,0,0,1,1,0.444444444444444,0.46,0.45,0.42,0.5,0.5,0.44,0.47,1,0,1,0,0,"R_cNpHdjVButG8B7L"
53,0,9,1,6,9,1,0,6,5,0.666666666666667,0,1,0.1875,0.25,0.0666666666666667,0,0,1,0,0,1,1,0.133333333333333,0.99,0.05,0.12,0.09,0.98,0.11,0.17,1,0,0,1,0,"R_6D3v5PTt0QgR7QF"
22,0,5,0.5,3,3,0,1,5,6,0.833333333333333,0,1,0.4375,0.625,0.4,1,0,0,0,1,0,0,0.777777777777778,0.74,0.84,0.69,0.55,0.52,0.81,0.9,1,0,1,0,1,"R_2f6zN3z1fDJoCOh"
45,0,2,0.125,3,3,1,0,,4,0.5,0,0,0.5,0.4375,0.333333333333333,1,0,0,0,1,1,0,0.422222222222222,0.57,0.75,0.79,0.4,0.54,0.12,1,1,0,1,0,0,"R_9NCsnuzW9pFH5UV"
60,0,9,1,6,7,1,0,2,1,0,1,0,0.6875,0.625,0.133333333333333,1,0,0,0,1,0,1,0.911111111111111,0.98,0.84,1,0.42,1,0.46,1,0,1,1,0,1,"R_20rWWyUdL7OQAnP"
65,0,5,0.5,4,4,1,1,6,5,0.666666666666667,0,1,0.6875,0.5625,0.266666666666667,1,0,0,0,1,0,1,0.711111111111111,1,0.73,0.85,0.54,0.87,0.49,0.9,1,0,1,0,1,"R_cZJAfNnzupbjL6d"
67,0,5,0.5,3,3,1,1,4,5,0.666666666666667,0,1,0.5625,0.625,0.333333333333333,0,0,1,0,0,1,1,0.644444444444444,0.69,0.31,0.82,0.58,0.65,0.08,1,1,0,0,1,1,"R_1yQFatOSCIEAxX7"
56,0,3,0.25,1,1,1,1,1,7,1,0,1,0.625,0.5625,0.266666666666667,1,0,0,0,1,1,0,0.822222222222222,0.83,0.8,0.84,0.02,0.97,0.21,0.55,0,1,0,1,0,"R_6Fiy6JRg43tRWqV"
68,0,6,0.625,6,9,1,1,6,7,1,0,1,0.625,0.5,0.466666666666667,1,0,0,0,1,1,1,0.611111111111111,0.49,0.54,0.56,0.58,0.3,0.54,0.93,0,1,1,0,0,"R_6gOQ0RFS2B3T7fv"
40,0,6,0.625,5,5,1,0,5,2,0.166666666666667,1,0,0.3125,0.5,0.266666666666667,1,0,0,0,1,1,1,0.188888888888889,0.59,0.27,0.3,0.42,0.81,0.26,0.51,1,0,1,0,1,"R_3WAShzDZ21hbJg9"
67,0,5,0.5,4,4,1,0,4,1,0,1,0,0.625,0.5625,0.266666666666667,0,0,1,0,0,1,1,0.555555555555556,0.56,0.78,0.81,0.67,0.69,0.76,0.85,0,1,0,1,1,"R_71AoglSLepfY2Gh"
57,0,5,0.5,5,5,0,0,5,2,0.166666666666667,1,0,0.4375,0.5625,0.333333333333333,0,1,0,1,0,1,0,0.177777777777778,1,0.42,0.45,0.62,1,0.29,0.78,0,1,0,1,0,"R_4MIPPhIzUAibqVT"
69,0,9,1,4,4,1,1,4,5,0.666666666666667,0,1,0,0.0625,0.2,0,0,1,0,0,1,1,0.1,0.88,0.1,0.88,0.03,1,0.07,0.96,1,0,1,0,0,"R_1EP1jThWemtLfbT"
66,1,3,0.25,2,2,1,0,,3,0.333333333333333,1,0,0.4375,0.5,0.466666666666667,1,0,0,0,1,1,0,0.444444444444444,0.55,0.41,0.34,0.4,0.61,0.21,0.45,0,1,1,0,0,"R_blvyVLsmVr6Xz5b"
65,0,7,0.75,2,2,1,1,2,1,0,1,0,0.5,0.6875,0.4,1,0,0,0,1,1,1,0.644444444444444,0.91,0.42,1,0.29,0.75,0.63,0.87,1,0,1,0,0,"R_7VvuzAHWfcR7zGB"
76,0,3,0.25,2,2,1,0,4,6,0.833333333333333,0,1,0.375,0.3125,0.4,0,0,1,0,0,1,1,0.433333333333333,0.42,0.41,0.74,0.35,0.04,0.09,1,1,0,1,0,1,"R_6xPCsT0OxplMtZb"
67,0,5,0.5,5,5,1,0,6,6,0.833333333333333,0,1,0.75,0.625,0.666666666666667,0,0,1,0,0,1,1,0.511111111111111,0.69,0.4,0.79,0.25,0.72,0.19,0.79,1,0,0,1,1,"R_cGS3RDHG1Wn7qaF"
67,0,6,0.625,3,3,1,1,5,5,0.666666666666667,0,1,0.5625,0.5,0.466666666666667,0,1,0,1,0,1,0,0.6,0.83,0.14,0.8,0.76,0.6,0.87,0.94,0,1,0,1,0,"R_cUaknnA6HWpLhT7"
26,0,8,0.875,2,2,1,0,3,2,0.166666666666667,1,0,0.3125,0.6875,0.533333333333333,1,0,0,0,1,1,1,0.322222222222222,0.3,0.51,0.37,0.27,0.27,0.59,0.61,0,1,0,1,0,"R_bykwmlW7Fp2BIEZ"
69,1,9,1,6,8,1,0,2,1,0,1,0,0.5,0.8125,0.266666666666667,1,0,0,0,1,1,1,0.5,0.47,0.55,0.22,0.62,0.49,0.21,0.48,1,0,0,1,0,"R_9tL7dBAnh1pIYyV"
56,0,7,0.75,6,7,1,0,4,6,0.833333333333333,0,1,0.5,0.75,0.4,1,0,0,0,1,1,1,0.511111111111111,0.25,0.52,0.52,0.59,0.45,0.53,0.43,1,0,1,0,1,"R_824Cv25l2BwZ9LT"
47,0,3,0.25,3,3,1,0,4,7,1,0,1,0.4375,0.1875,0.4,1,0,0,0,1,1,1,0.544444444444445,1,0.66,0.91,0.6,0.93,0.64,0.94,1,0,1,0,1,"R_6JdqkQanpkzBjQ9"
26,0,9,1,4,4,1,0,1,1,0,1,0,0.1875,0.625,0.733333333333333,1,0,0,0,1,1,1,0.455555555555555,0.23,0.49,0.36,0.29,0.79,0.33,0.4,1,0,0,1,0,"R_2mHIzywuKnDBufP"
44,0,7,0.75,2,2,1,1,6,7,1,0,1,1,0.3125,0.533333333333333,0,0,1,0,0,1,1,0.388888888888889,0.84,0.17,0.79,0.89,1,0.78,1,1,0,0,1,1,"R_9zSnFXZHLGhlZk1"
26,0,5,0.5,2,2,1,0,3,3,0.333333333333333,1,0,0.0625,0.4375,0.266666666666667,1,0,0,0,1,1,1,0.466666666666667,0.5,0.1,0.3,0.26,0.52,0.1,0.31,0,1,0,1,1,"R_3UEOAtAZBgCc1il"
61,0,3,0.25,2,2,1,1,6,3,0.333333333333333,1,0,0.6875,0.5,0.133333333333333,1,0,0,0,1,1,1,0.666666666666667,0.78,0.74,0.74,0.24,0.84,0.65,0.97,0,1,0,1,1,"R_eagzZHuBIVLo9Df"
29,0,8,0.875,1,1,1,1,6,7,1,0,1,0.8125,0.6875,0.8,0,0,1,0,0,1,1,0.544444444444445,0.47,0.65,0.89,0.94,0.99,0.68,0.98,0,1,1,0,0,"R_560h9wfPPxHiQ4J"
55,0,7,0.75,5,5,1,0,2,2,0.166666666666667,1,0,0.5,0.5,0.4,0,0,1,0,0,0,1,0.288888888888889,0.47,0.6,0.94,0.66,0.38,0.84,0.96,0,1,1,0,1,"R_0H7xLV6WbARh9VX"
38,0,7,0.75,4,4,1,1,6,7,1,0,1,0.625,0.4375,0.2,1,0,0,0,1,0,1,0.911111111111111,0.89,0.92,0.98,0.11,0.9,0.78,1,1,0,1,0,1,"R_bvZsjC3wcDVbQoZ"
57,1,5,0.5,1,1,0,0,6,1,0,1,0,0.5,0.5,0.266666666666667,0,1,0,1,0,1,1,0.0888888888888889,0.07,0.1,0.11,0.13,0.25,0.23,0.35,0,1,0,1,1,"R_5j8ykdL98qbVhfD"
71,1,6,0.625,5,5,1,0,4,5,0.666666666666667,0,1,0.625,0.5625,0.266666666666667,0,1,0,1,0,1,0,0.466666666666667,0.84,0.22,0.54,0.16,0.8,0.19,0.76,0,1,0,1,1,"R_264ujV5w5cNxtRz"
23,0,5,0.5,2,2,1,1,6,6,0.833333333333333,0,1,0.4375,0.375,0.4,0,1,0,1,0,0,1,0.433333333333333,0.28,0.06,0.38,0.35,0.53,0.33,0.62,1,0,1,0,1,"R_023mWPoFqzhPzHD"
50,0,5,0.5,1,1,0,0,7,2,0.166666666666667,1,0,0.25,0,0.333333333333333,1,0,0,0,1,1,1,0.222222222222222,0.8,0.64,0.65,0.09,0.09,0.32,0.43,1,0,0,1,0,"R_emakPFzP8TSgKNv"
34,0,3,0.25,2,2,1,1,5,4,0.5,0,0,0.625,0.75,0.333333333333333,0,1,0,1,0,0,1,0.188888888888889,0.71,0.06,0.9,0.47,0.72,0.58,0.64,0,1,1,0,1,"R_01eTiiw6OxHWAe1"
73,0,9,1,6,9,1,0,1,1,0,1,0,0.4375,0.9375,0.266666666666667,1,0,0,0,1,0,1,0.255555555555556,0.37,0.31,0.39,0.22,0.49,0.39,0.61,1,0,1,0,0,"R_cZaUN7DL6pQXtXL"
52,0,4,0.375,1,1,1,0,6,1,0,1,0,0.5625,0.5625,0.466666666666667,0,0,1,0,0,1,1,0.5,0.99,0.43,0.88,,0.99,0.49,0.97,0,1,1,0,1,"R_dmXawuI1hc5VSU5"
75,0,9,1,4,4,1,0,3,1,0,1,0,0.3125,0.75,0.466666666666667,0,1,0,1,0,1,0,0.622222222222222,0.51,0.37,0.37,0.1,0.82,0.14,0.23,0,1,0,1,0,"R_3arLCgmjZv6EPe5"
60,0,7,0.75,2,2,1,0,2,1,0,1,0,0.6875,0.75,0.266666666666667,0,1,0,1,0,1,1,0.488888888888889,0.88,0.51,0.22,0.69,1,0.85,0.84,0,1,1,0,0,"R_erMieq73R1nfwJT"
49,0,5,0.5,6,7,1,0,3,2,0.166666666666667,1,0,0.625,0.625,0.333333333333333,0,0,1,0,0,1,1,0.177777777777778,0.19,0.39,0.44,0.48,0.24,0.61,0.91,1,0,0,1,0,"R_797kTouyqXgl3Mh"
28,0,5,0.5,4,4,1,1,,7,1,0,1,0.4375,0.4375,0.533333333333333,1,0,0,0,1,1,1,0.722222222222222,0.62,0.49,0.53,0.64,0.65,0.57,0.85,0,1,0,1,1,"R_08jZhV6OdXQadBX"
41,0,7,0.75,4,4,0,0,6,5,0.666666666666667,0,1,0.5,0.5,0.133333333333333,0,1,0,1,0,1,1,0.244444444444444,0.14,0.17,0.23,0.93,0.96,0.91,0.98,1,0,1,0,0,"R_8wCxVXJQ04EdjSZ"
50,0,5,0.5,4,4,1,0,2,1,0,1,0,0.4375,0.4375,0.266666666666667,0,1,0,1,0,0,1,0.433333333333333,0.95,0.78,0.6,0.82,1,0.65,0.93,1,0,1,0,1,"R_38WIXYJVNRa5qxT"
54,0,3,0.25,2,2,1,1,6,7,1,0,1,0.3125,0.5625,0.4,0,0,1,0,0,1,0,0.633333333333333,0.45,0.6,0.8,0.6,0.7,0.64,0.53,1,0,0,1,1,"R_8ojSoKz2laDbJL7"
26,0,7,0.75,3,3,0,0,2,2,0.166666666666667,1,0,0.375,0.5,0.533333333333333,0,0,1,0,0,1,0,0.355555555555556,0.81,0.35,0.53,0.16,0.68,0.13,1,0,1,0,1,0,"R_3PqNJh7HTOA2yHj"
42,1,7,0.75,6,7,1,1,7,7,1,0,1,0.75,0.625,0.2,0,1,0,1,0,1,1,0.877777777777778,0.89,0.9,0.91,0.91,0.93,0.9,0.94,0,1,0,1,1,"R_6rjUTZTRGH5bXUx"
65,0,7,0.75,3,3,1,0,4,2,0.166666666666667,1,0,0.625,0.5625,0.466666666666667,0,1,0,1,0,0,1,0.588888888888889,1,0.55,1,0.34,1,0.06,1,1,0,1,0,1,"R_4Uee0XEdlRDy36R"
34,1,5,0.5,1,1,0,0,,1,0,1,0,0.25,0.5,0.0666666666666667,1,0,0,0,1,1,1,0.555555555555556,0.58,0.53,0.47,0.47,0.48,0.47,0.51,0,1,0,1,1,"R_a3pqMp4fYurJkbP"
